"Album","Country","Sales"
"Thriller","Argentina",600000
"Thriller","Australia",1150000
"Thriller","Austria",400000
"Thriller","Belgium",315000
"Thriller","Brazil",430000
"Thriller","Canada",3000000
"Thriller","Denmark",240000
"Thriller","Finland",119061
"Thriller","France",1800000
"Thriller","Germany",1500000
"Thriller","Grecce",30000
"Thriller","Hong Kong",20000
"Thriller","Hungary",6000
"Thriller","Israel",80000	
"Thriller","Italy",850000
"Thriller","Japan",2500000
"Thriller","Korea",3624
"Thriller","Latvia",136000
"Thriller","Mexico",2600000
"Thriller","Netherlands",830000
"Thriller","New Zealand",180000
"Thriller","Norway",92500
"Thriller","Poland",20000
"Thriller","Portugal",60000
"Thriller","South Africa",50000
"Thriller","Spain",100000
"Thriller","Sweden",420000
"Thriller","Switzerland",315000
"Thriller","United Kingdom",4500000
"Thriller","United States",34000000
"Thriller","Yugoslavia",112504
"Thriller","Europe (IFPI)",1000000
"Bad","Argentina",60000
"Bad","Australia",420000
"Bad","Austria",200000
"Bad","Canada",700000
"Bad","Denmark",80000
"Bad","Finland",51287
"Bad","France",1000000
"Bad","Germany",2000000
"Bad","Hong Kong",20000
"Bad","India",150000
"bad","Israel",20000
"Bad","Japan",645450
"Bad","Latvia",112000
"Bad","Mexico",350000
"Bad","Netherlands",100000
"Bad","New Zealand",135000
"Bad","Norway",169885
"Bad","Poland",10000
"Bad","Portugal",40000
"Bad","Singapore",5000
"Bad","Spain",300000
"Bad","Sweden",200000
"Bad","United Kingdom",4200000
"Bad","United States",11000000
"Bad","Europe (IFPI)",1000000
"Dangerous","Australia",700000
"Dangerous","Austria",200000
"Dangerous","Brazil",100000
"Dangerous","Canada",600000
"Dangerous","Chilie",125000
"Dangerous","Denmark",15000
"Dangerous","Finland",61896
"Dangerous","France",1000000
"Dangerous","Germany",2000000
"Dangerous","Hungary",6000
"Dangerous","Indonesia",500000
"Dangerous","Israel",40000
"Dangerous","Italy",450000
"Dangerous","Japan",405740
"Dangerous","Malaysia",175000
"Dangerous","Mexico",600000
"Dangerous","Netherlands",300000
"Dangerous","New Zealand",90000
"Dangerous","Norway",238827
"Dangerous","Portugal",80000
"Dangerous","Spain",600000
"Dangerous","Sweden",300000
"Dangerous","Switzerland",200000
"Dangerous","Thailand",300000
"Dangerous","United Kingdom",1983000
"Dangerous","United States",8000000
"History","Argentina",120000
"History","Australia",560000
"History","Austria",100000
"History","Belgium",250000
"History","Brazil",100000
"History","Canada",250000
"History","Denmark",220000
"History","Finland",61352
"History","France",1000000
"History","Germany",1500000
"History","Italy",35000
"History","Japan",585750
"History","Mexico",100000
"History","Netherlands",300000
"History","New Zealand",135000
"History","Norway",50000
"History","Poland",50000
"History","Singapore",10000
"History","Spain",300000
"History","Sweden",100000
"History","Switzerland",150000
"History","Taiwan",23365
"History","United Kingdom",1200000
"History","United States",4000000
"History","Europe (IFPI)",6000000
"Off the Wall","Australia",350000
"Off the Wall","Canada",100000
"Off the Wall","Denmark",10000
"Off the Wall","France",300000
"Off the Wall","Hong Kong",10000
"Off the Wall","Italy",30000
"Off the Wall","Japan",170230
"Off the Wall","Netherlands",100000
"Off the Wall","New Zealand",90000
"Off the Wall","United Kingdom",1800000
"Off the Wall","United States",9000000
"Off the Wall","Europe (IFPI)",6000000
"Number Ones","Argentina",20000
"Number Ones","Australia",420000
"Number Ones","Austria",15000
"Number Ones","Canada",368000
"Number Ones","Germany",100000
"Number Ones","Italy",25000
"Number Ones","Japan",250000
"Number Ones","Korea",11405
"Number Ones","Mexico",50000
"Number Ones","New Zealand",60000
"Number Ones","Poland",40000
"Number Ones","Russia",20000
"Number Ones","Spain",50000
"Number Ones","Switzerland",20000
"Number Ones","United Kingdom",3000000
"Number Ones","United States",5443000
"Number Ones","Europe (IFPI)",1000000
"The Essential Michael Jackson","Australia",630000
"The Essential Michael Jackson","Belgium",25000
"The Essential Michael Jackson","Canada",160000
"The Essential Michael Jackson","Denmark",15000
"The Essential Michael Jackson","Finland",20290
"The Essential Michael Jackson","France",200000
"The Essential Michael Jackson","Hungary",3000
"The Essential Michael Jackson","Ireland",15000
"The Essential Michael Jackson","Japan",100000
"The Essential Michael Jackson","Korea",5392
"The Essential Michael Jackson","Mexico",50000
"The Essential Michael Jackson","New Zealand",30000
"The Essential Michael Jackson","Sweden",30000
"The Essential Michael Jackson","United Kingdom",1500000
"The Essential Michael Jackson","United States",2500000
"The Essential Michael Jackson","Europe (IFPI)",2000000
"Invincible","Argentina",20000
"Invincible","Australia",140000
"Invincible","Austria",20000
"Invincible","Belgium",50000
"Invincible","Denmark",25000
"Invincible","Finland",16621
"Invincible","France",300000
"Invincible","Germany",300000
"Invincible","Italy",30000
"Invincible","Japan",200000
"Invincible","Korea",60664
"Invincible","Netherlands",80000
"Invincible","New Zealand",15000
"Invincible","Norway",50000
"Invincible","Poland",50000
"Invincible","Portugal",20000
"Invincible","South Africa",100000
"Invincible","Spain",100000
"Invincible","Sweden",40000
"Invincible","Switzerland",40000
"Invincible","United Kingdom",300000
"Invincible","United States",2097000
"Invincible","Europe (IFPI)",2000000

