index,Format,Year,Units,Revenue,Revenue (Inflation Adjusted)
0,8 - Track,1973,91000000.0,489000000,2699600000
1,8 - Track,1974,96700000.0,549200000,2730600000
2,8 - Track,1975,94600000.0,583000000,2656200000
3,8 - Track,1976,106100000.0,678200000,2921600000
4,8 - Track,1977,127300000.0,811000000,3280400000
5,8 - Track,1978,133600000.0,948000000,3564000000
6,8 - Track,1979,102300000.0,684300000,2310400000
7,8 - Track,1980,85000000.0,527000000,1567700000
8,8 - Track,1981,50000000.0,313000000,844000000
9,8 - Track,1982,13700000.0,36000000,91400000
10,8 - Track,1983,0.0,0,0
11,8 - Track,1984,0.0,0,0
12,8 - Track,1985,0.0,0,0
13,8 - Track,1986,0.0,0,0
14,8 - Track,1987,0.0,0,0
15,8 - Track,1988,0.0,0,0
16,8 - Track,1989,0.0,0,0
17,8 - Track,1990,0.0,0,0
18,8 - Track,1991,0.0,0,0
19,8 - Track,1992,0.0,0,0
20,8 - Track,1993,0.0,0,0
21,8 - Track,1994,0.0,0,0
22,8 - Track,1995,0.0,0,0
23,8 - Track,1996,0.0,0,0
24,8 - Track,1997,0.0,0,0
25,8 - Track,1998,0.0,0,0
26,8 - Track,1999,0.0,0,0
27,8 - Track,2000,0.0,0,0
28,8 - Track,2001,0.0,0,0
29,8 - Track,2002,0.0,0,0
30,8 - Track,2003,0.0,0,0
31,8 - Track,2004,0.0,0,0
32,8 - Track,2005,0.0,0,0
33,8 - Track,2006,0.0,0,0
34,8 - Track,2007,0.0,0,0
35,8 - Track,2008,0.0,0,0
36,8 - Track,2009,0.0,0,0
37,8 - Track,2010,0.0,0,0
38,8 - Track,2011,0.0,0,0
39,8 - Track,2012,0.0,0,0
40,8 - Track,2013,0.0,0,0
41,8 - Track,2014,0.0,0,0
42,8 - Track,2015,0.0,0,0
43,8 - Track,2016,0.0,0,0
44,8 - Track,2017,0.0,0,0
45,8 - Track,2018,0.0,0,0
46,Cassette,1973,15000000.0,76000000,419600000
47,Cassette,1974,15300000.0,87200000,433600000
48,Cassette,1975,16200000.0,98800000,450100000
49,Cassette,1976,21800000.0,145700000,627700000
50,Cassette,1977,36900000.0,249600000,1009600000
51,Cassette,1978,61300000.0,449800000,1691000000
52,Cassette,1979,78500000.0,580600000,1960300000
53,Cassette,1980,99000000.0,705000000,2097200000
54,Cassette,1981,124000000.0,1062800000,2865900000
55,Cassette,1982,183200000.0,1384500000,3516800000
56,Cassette,1983,236800000.0,1810900000,4456700000
57,Cassette,1984,332000000.0,2383900000,5624100000
58,Cassette,1985,339100000.0,2411500000,5493600000
59,Cassette,1986,344500000.0,2499500000,5590100000
60,Cassette,1987,410000000.0,2959700000,6386300000
61,Cassette,1988,450100000.0,3385100000,7014000000
62,Cassette,1989,446200000.0,3345800000,6613900000
63,Cassette,1990,442200000.0,3472400000,6512300000
64,Cassette,1991,360100000.0,3019600000,5434400000
65,Cassette,1992,366400000.0,3116300000,5444500000
66,Cassette,1993,339500000.0,2915800000,4946200000
67,Cassette,1994,345400000.0,2976400000,4922900000
68,Cassette,1995,272600000.0,2303600000,3705100000
69,Cassette,1996,225300000.0,1905300000,2976600000
70,Cassette,1997,172600000.0,1522700000,2325500000
71,Cassette,1998,158500000.0,1419900000,2135300000
72,Cassette,1999,123600000.0,1061600000,1561900000
73,Cassette,2000,76000000.0,626000000,891100000
74,Cassette,2001,45000000.0,363400000,503000000
75,Cassette,2002,31100000.0,209800000,285900000
76,Cassette,2003,17200000.0,108100000,144000000
77,Cassette,2004,5200000.0,23700000,30800000
78,Cassette,2005,2500000.0,13100000,16400000
79,Cassette,2006,700000.0,3700000,4500000
80,Cassette,2007,400000.0,3000000,3500000
81,Cassette,2008,100000.0,900000,1000000
82,Cassette,2009,0.0,0,0
83,Cassette,2010,0.0,0,0
84,Cassette,2011,0.0,0,0
85,Cassette,2012,0.0,0,0
86,Cassette,2013,0.0,0,0
87,Cassette,2014,0.0,0,0
88,Cassette,2015,0.0,0,0
89,Cassette,2016,0.0,0,0
90,Cassette,2017,0.0,0,0
91,Cassette,2018,0.0,0,0
92,Cassette Single,1973,0.0,0,0
93,Cassette Single,1974,0.0,0,0
94,Cassette Single,1975,0.0,0,0
95,Cassette Single,1976,0.0,0,0
96,Cassette Single,1977,0.0,0,0
97,Cassette Single,1978,0.0,0,0
98,Cassette Single,1979,0.0,0,0
99,Cassette Single,1980,0.0,0,0
100,Cassette Single,1981,0.0,0,0
101,Cassette Single,1982,0.0,0,0
102,Cassette Single,1983,0.0,0,0
103,Cassette Single,1984,0.0,0,0
104,Cassette Single,1985,0.0,0,0
105,Cassette Single,1986,0.0,0,0
106,Cassette Single,1987,5100000.0,14300000,30900000
107,Cassette Single,1988,22500000.0,57300000,118700000
108,Cassette Single,1989,76200000.0,194600000,384700000
109,Cassette Single,1990,87400000.0,257900000,483700000
110,Cassette Single,1991,69000000.0,230400000,414700000
111,Cassette Single,1992,84600000.0,298800000,522000000
112,Cassette Single,1993,85600000.0,298500000,506400000
113,Cassette Single,1994,81100000.0,274900000,454700000
114,Cassette Single,1995,70700000.0,236300000,380100000
115,Cassette Single,1996,59900000.0,189300000,295700000
116,Cassette Single,1997,42200000.0,133500000,203900000
117,Cassette Single,1998,26400000.0,94400000,142000000
118,Cassette Single,1999,14200000.0,48000000,70600000
119,Cassette Single,2000,1300000.0,4600000,6500000
120,Cassette Single,2001,-1500000.0,-5300000,-7300000
121,Cassette Single,2002,-500000.0,-1600000,-2200000
122,Cassette Single,2003,0.0,0,0
123,Cassette Single,2004,0.0,0,0
124,Cassette Single,2005,0.0,0,0
125,Cassette Single,2006,0.0,0,0
126,Cassette Single,2007,0.0,0,0
127,Cassette Single,2008,0.0,0,0
128,Cassette Single,2009,0.0,0,0
129,Cassette Single,2010,0.0,0,0
130,Cassette Single,2011,0.0,0,0
131,Cassette Single,2012,0.0,0,0
132,Cassette Single,2013,0.0,0,0
133,Cassette Single,2014,0.0,0,0
