Date,Monthly Active User (MAU),Premium Users
Q1 2015,68,18
Q2 2015,77,22
Q3 2015,82,24
Q4 2015,91,28
Q1 2016,96,30
Q2 2016,104,36
Q3 2016,113,40
Q4 2016,123,48
Q1 2017,132,52
Q2 2017,138,59
Q3 2017,149,62
Q4 2017,160,71
Q1 2018,157,75
Q2 2018,180,83
Q3 2018,191,87
Q4 2018,207,96
Q1 2019,217,100
Q2 2019,232,108
Q3 2019,248,113
Q4 2019,271,124
Q1 2020,286,130
Q2 2020,299,138
Q3 2020,320,144
Q4 2020,345,155
Q1 2021,356,158
Q2 2021,365,165
Q3 2021,381,172
Q4 2021,406,180
Q1 2022,422,182
Q2 2022,433,188
Q3 2022,456,195
Q4 2022,489,205
Q1 2023,515,210
Q2 2023,551,220
Q3 2023,574,226
Q4 2023,602,236
